name,protein,fat,carbo,unit,gram,image_url,ancestry,kcal
トレビス(赤チコリ),4.40,0.80,15.60,1個,400.0,https://cdn.slism.jp/calorie/foodImages/106187.jpg,77,72
赤玉葱(赤たまねぎ/紫タマネギ),1.69,0.19,16.92,1個,188.0,https://cdn.slism.jp/calorie/foodImages/106156.jpg,77,71
ナタネ(セイヨウアブラナ/洋種ナバナ),8.20,0.80,12.00,1束,200.0,https://cdn.slism.jp/calorie/foodImages/106203.jpg,77,70
アブラナ(和種ナバナ/菜の花),8.80,0.40,11.60,1束,200.0,https://cdn.slism.jp/calorie/foodImages/106201.jpg,77,66
たまねぎ(玉葱/タマネギ/玉ねぎ),1.77,0.18,15.58,M1個,177.0,https://cdn.slism.jp/calorie/foodImages/106153.jpg,77,65
高菜(たかな),5.40,0.60,12.60,1束,300.0,https://cdn.slism.jp/calorie/foodImages/106147.jpg,77,63
金時にんじん(東洋人参),2.34,0.39,12.61,1本,130.0,https://cdn.slism.jp/calorie/foodImages/106220.jpg,77,59
にんじん(人参/ニンジン),0.88,0.15,13.14,M1本,146.0,https://cdn.slism.jp/calorie/foodImages/106214.jpg,77,54
すぐき菜の葉(すぐき),3.80,0.40,10.80,1束,200.0,https://cdn.slism.jp/calorie/foodImages/106113.jpg,77,52
大根菜(大根の葉),4.40,0.20,10.60,1束,200.0,https://cdn.slism.jp/calorie/foodImages/106130.jpg,77,50
ゴーヤ(にがうり/苦瓜),2.50,0.25,9.75,1本,250.0,https://cdn.slism.jp/calorie/foodImages/106205.jpg,77,43
葉大根(葉だいこん),4.00,0.40,6.60,1束,200.0,https://cdn.slism.jp/calorie/foodImages/106129.jpg,77,36
葉にんじん(にんじん菜/葉人参),2.20,0.40,7.40,1束,200.0,https://cdn.slism.jp/calorie/foodImages/106211.jpg,77,36
つまみ菜(つまみな/雪白体菜),3.04,0.48,5.76,1パック,160.0,https://cdn.slism.jp/calorie/foodImages/106144.jpg,77,32
トマト(とまと),1.16,0.17,7.76,M1個,165.0,https://cdn.slism.jp/calorie/foodImages/106182.jpg,77,31
ズッキーニ(つる無し南瓜),2.60,0.20,5.60,1本,200.0,https://cdn.slism.jp/calorie/foodImages/106116.jpg,77,28
花ニラ(ハナニラ/花韮),1.90,0.20,5.90,1束,100.0,https://cdn.slism.jp/calorie/foodImages/106209.jpg,77,27
タアサイ(如月菜/ターサイ),2.44,0.38,4.14,1株,188.0,https://cdn.slism.jp/calorie/foodImages/106126.jpg,77,24
若い空豆(生そら豆),2.18,0.04,3.10,30粒,20.0,https://cdn.slism.jp/calorie/foodImages/106124.jpg,77,22
ニラ(にら/韮),1.62,0.29,3.80,1束,95.0,https://cdn.slism.jp/calorie/foodImages/106207.jpg,77,20
ツルムラサキ(つるむらさき/木耳菜/潺菜),1.05,0.30,3.90,1束,150.0,https://cdn.slism.jp/calorie/foodImages/106165.jpg,77,20
タラの芽(たらのめ),2.94,0.14,3.01,1パック(7～10個),70.0,https://cdn.slism.jp/calorie/foodImages/106157.jpg,77,19
黄ニラ(韮黄/黄にら),2.10,0.10,3.30,1束,100.0,https://cdn.slism.jp/calorie/foodImages/106210.jpg,77,18
葉唐辛子(葉とうがらし),1.70,0.05,3.60,1束,50.0,https://cdn.slism.jp/calorie/foodImages/106169.jpg,77,18
唐辛子(とうがらし/鷹の爪),0.74,0.60,2.92,10本,5.0,https://cdn.slism.jp/calorie/foodImages/106172.jpg,77,17
チコリー(キクニガナ/チコリ/アンディープ),1.00,0.00,3.90,1個,100.0,https://cdn.slism.jp/calorie/foodImages/106159.jpg,77,16
なす (茄子/ナス/長茄子/なすび),0.79,0.07,3.67,S1個,72.0,https://cdn.slism.jp/calorie/foodImages/106191.jpg,77,16
セリ(せり/芹),1.68,0.08,2.77,1束,84.0,https://cdn.slism.jp/calorie/foodImages/106117.jpg,77,14
タイサイ(パクチョイ/体菜/青梗菜),0.77,0.09,2.98,1株,85.0,https://cdn.slism.jp/calorie/foodImages/106145.jpg,77,14
かいわれ大根(かいわれ/カイワレダイコン),1.03,0.25,1.62,小1パック,49.0,https://cdn.slism.jp/calorie/foodImages/106128.jpg,77,10
ずいき(芋茎),0.25,0.00,2.05,1本,50.0,https://cdn.slism.jp/calorie/foodImages/106109.jpg,77,8
チンゲンサイ(チンゲン菜/青梗菜),0.51,0.09,1.70,1株,85.0,https://cdn.slism.jp/calorie/foodImages/106160.jpg,77,8
長崎白菜(唐人菜/長崎はくさい),0.65,0.05,1.30,1枚,50.0,https://cdn.slism.jp/calorie/foodImages/106189.jpg,77,7
生唐辛子(なまとうがらし),0.20,0.17,0.82,1本,5.0,https://cdn.slism.jp/calorie/foodImages/106171.jpg,77,5
ナズナ(なずな/ぺんぺん草),0.43,0.01,0.70,1本,10.0,https://cdn.slism.jp/calorie/foodImages/106200.jpg,77,4
ミニキャロット(ミニニンジン),0.07,0.02,0.75,1本,10.0,https://cdn.slism.jp/calorie/foodImages/106222.jpg,77,3
ベビーコーン(ヤングコーン/ミニコーン),0.23,0.02,0.60,1本,10.0,https://cdn.slism.jp/calorie/foodImages/106181.jpg,77,3
ミニトマト(みにとまと/プチトマト),0.11,0.01,0.72,M1個,10.0,https://cdn.slism.jp/calorie/foodImages/106183.jpg,77,3
つるな(蔓菜/ツルナ),0.18,0.01,0.28,10枚,10.0,https://cdn.slism.jp/calorie/foodImages/106164.jpg,77,2
ぜんまい(ゼンマイ),0.05,0.00,0.20,1本,3.0,https://cdn.slism.jp/calorie/foodImages/106120.jpg,77,1
つくし(ツクシ),0.07,0.00,0.16,1本,2.0,https://cdn.slism.jp/calorie/foodImages/106162.jpg,77,1
ホースラディッシュ(西洋山葵/西洋わさび/山わさび),7.75,0.75,44.25,1本,250.0,https://cdn.slism.jp/calorie/foodImages/106270.jpg,77,198
白菜(はくさい),7.52,0.94,30.08,小1個,940.0,https://cdn.slism.jp/calorie/foodImages/106233.jpg,77,132
ビート(テーブルビート/ビートルート/ビーツ),3.20,0.20,18.60,1個,200.0,https://cdn.slism.jp/calorie/foodImages/106243.jpg,77,82
野沢菜(のざわな),4.50,0.50,17.50,1束,500.0,https://cdn.slism.jp/calorie/foodImages/106229.jpg,77,80
ゆりね(百合根/ユリ根),2.39,0.06,17.83,1個,63.0,https://cdn.slism.jp/calorie/foodImages/106296.jpg,77,79
大豆もやし(もやし/モヤシ/豆もやし),7.10,2.88,4.42,1袋,192.0,https://cdn.slism.jp/calorie/foodImages/106287.jpg,77,71
はやとうり(ハヤトウリ/隼人瓜),1.80,0.30,14.70,1個,300.0,https://cdn.slism.jp/calorie/foodImages/106241.jpg,77,60
ほうれんそう(ほうれん草/ホウレンソウ/ホウレン草),5.94,1.08,8.37,1束,270.0,https://cdn.slism.jp/calorie/foodImages/106267.jpg,77,54
水掛菜(みずかけ菜/みずかけな),5.80,0.20,9.40,1束,200.0,https://cdn.slism.jp/calorie/foodImages/106272.jpg,77,50
トマピー(とまぴー),1.50,0.30,11.25,1個,150.0,https://cdn.slism.jp/calorie/foodImages/106251.jpg,77,47
エシャロット(エシャレット),1.38,0.12,10.68,1束(8～10個),60.0,https://cdn.slism.jp/calorie/foodImages/106307.jpg,77,46
ふきのとう(蕗の薹),2.58,0.10,10.30,1パック(8～10個),103.0,https://cdn.slism.jp/calorie/foodImages/106258.jpg,77,44
ブロッコリー(ミドリハナヤサイ/メハナヤサイ),5.38,0.63,6.50,M1個,125.0,https://cdn.slism.jp/calorie/foodImages/106263.jpg,77,41
広島菜(ひろしまな),3.00,0.40,8.40,1束,200.0,https://cdn.slism.jp/calorie/foodImages/106254.jpg,77,40
へちま(ヘチマ/糸瓜),2.00,0.25,9.50,1本,250.0,https://cdn.slism.jp/calorie/foodImages/106265.jpg,77,40
根みつば(根三つ葉),3.71,0.20,8.00,1束,195.0,https://cdn.slism.jp/calorie/foodImages/106276.jpg,77,39
フダンソウ(ふだんそう/不断草),4.00,0.20,7.40,1束,200.0,https://cdn.slism.jp/calorie/foodImages/106261.jpg,77,38
モロヘイヤ(シマツナソ),4.80,0.50,6.30,1袋,100.0,https://cdn.slism.jp/calorie/foodImages/106293.jpg,77,38
ブラックマッペもやし(ブラックマッペ/細もやし/黒豆もやし),4.96,0.00,6.70,1袋,248.0,https://cdn.slism.jp/calorie/foodImages/106289.jpg,77,37
もやし(モヤシ/緑豆もやし/りょくとうもやし),4.13,0.24,6.32,1袋,243.0,https://cdn.slism.jp/calorie/foodImages/106291.jpg,77,34
